constituency,ldf_score,udf_score,nda_score,others_score,recent_swing_score,analysis_predicted
Manjeshwaram,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Kasaragod,0.35942,0.4347,0.19288,0.013,0.4347,UDF
Udma,0.4347,0.35942,0.19288,0.013,0.43470,LDF
Kanhangad,0.4347,0.35942,0.19288,0.013,0.43470,LDF
Thrikkaripur,0.4347,0.35942,0.19288,0.013,0.43470,LDF
Payyannur,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Kalliasseri,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Thalassery,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Dharmadom,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Thaliparamba,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Irikkur,0.4255,0.45518,0.10289,0.01643,0.45518,UDF
Azhikode,0.45518,0.4255,0.10289,0.01643,0.45518,LDF
Kannur,0.46155,0.43215,0.09386,0.01244,0.46155,LDF
Kuthuparamba,0.46155,0.43215,0.09386,0.01244,0.46155,LDF
Mattannur,0.46155,0.43215,0.09386,0.01244,0.46155,LDF
Peravoor,0.43215,0.46155,0.09386,0.01244,0.46155,UDF
Mananthavady,0.56183,0.30263,0.12128,0.01426,0.56183,LDF
Sulthan Bathery,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Kalpetta,0.30263,0.56183,0.12128,0.01426,0.56183,UDF
Vatakara,0.46755,0.42015,0.09986,0.01244,0.46755,LDF
Kuttiady,0.46755,0.42015,0.09986,0.01244,0.46755,LDF
Nadapuram,0.46755,0.42015,0.09986,0.01244,0.46755,LDF
Koyilandy,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Perambra,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Balusseri,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Elathur,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Kozhikode North,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
Kozhikode South,0.45418,0.38431,0.14592,0.01559,0.45418,LDF
