year,election_type,ac_no,ac_name,district,ls_constituency,ls_winner_party,ls_winner_alliance,ls_winner_vote_share_pct,ls_winner_margin_pct,is_real_result,source
2014,lok_sabha,1,Manjeshwaram,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,2,Kasaragod,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,3,Udma,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,4,Kanhangad,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,5,Thrikkaripur,Kasaragod,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,6,Payyannur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,7,Kalliasseri,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,8,Thalassery,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,9,Dharmadom,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,10,Thaliparamba,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,11,Irikkur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,12,Azhikode,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,13,Kannur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,14,Kuthuparamba,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,15,Mattannur,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,16,Peravoor,Kannur,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,17,Mananthavady,Wayanad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,18,Sulthan Bathery,Wayanad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,19,Kalpetta,Wayanad,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,20,Vatakara,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,21,Kuttiady,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,22,Nadapuram,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,23,Koyilandy,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,24,Perambra,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,25,Balusseri,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,26,Elathur,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,27,Kozhikode North,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,28,Kozhikode South,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,29,Beypore,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,30,Kunnamangalam,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,31,Koduvally,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,32,Thiruvambadi,Kozhikode,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,33,Kondotty,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,34,Eranad,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,35,Nilambur,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,36,Wandoor,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,37,Manjeri,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,38,Perinthalmanna,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,39,Mankada,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,40,Malappuram,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
2014,lok_sabha,41,Vengara,Malappuram,,,,,,1,ECI archive https://results.eci.gov.in/Result2014/index.htm
