TAMIL NADU CONSTITUENCY EXPLORER - ALL AVAILABLE YEARS
Generated from backend/tamilnadu AC-level datasets

Note: Historical (2016, 2021) rows use winner/runner vote shares from source; the remaining share is assigned to Others.

YEAR: 2016
AC No	Constituency	District	Predicted	Winning Score	DMK	AIADMK	TVK	NTK	Others
1	Gummidipoondi	Tiruvallur	AIADMK	41.68	30.76	41.68	0.00	0.00	27.56
2	Ponneri	Tiruvallur	AIADMK	48.56	38.78	48.56	0.00	0.00	12.66
3	Tiruttani	Tiruvallur	AIADMK	41.84	31.43	41.84	0.00	0.00	26.73
4	Thiruvallur	Tiruvallur	DMK	39.02	39.02	36.53	0.00	0.00	24.45
5	Poonamallee	Tiruvallur	AIADMK	43.32	38.41	43.32	0.00	0.00	18.27
6	Avadi	Tiruvallur	AIADMK	39.92	39.40	39.92	0.00	0.00	20.68
7	Maduravoyal	Tiruvallur	AIADMK	40.12	36.74	40.12	0.00	0.00	23.14
8	Ambattur	Tiruvallur	AIADMK	41.10	33.48	41.10	0.00	0.00	25.42
9	Madavaram	Tiruvallur	DMK	45.43	45.43	39.76	0.00	0.00	14.81
10	Thiruvottiyur	Tiruvallur	DMK	43.25	43.25	40.69	0.00	0.00	16.06
11	Dr. Radhakrishnan Nagar	Chennai	AIADMK	55.87	33.14	55.87	0.00	0.00	10.99
12	Perambur	Chennai	AIADMK	42.39	42.11	42.39	0.00	0.00	15.50
13	Kolathur	Chennai	DMK	54.25	54.25	31.83	0.00	0.00	13.92
14	Villivakkam	Chennai	DMK	43.96	43.96	37.75	0.00	0.00	18.29
15	Thiru-Vi-Ka-Nagar	Chennai	DMK	45.25	45.25	42.82	0.00	0.00	11.93
16	Egmore	Chennai	DMK	45.64	45.64	36.79	0.00	0.00	17.57
17	Royapuram	Chennai	AIADMK	45.21	38.63	45.21	0.00	0.00	16.16
18	Harbour	Chennai	DMK	40.36	40.36	35.72	0.00	0.00	23.92
19	Chepauk-Thiruvallikeni	Chennai	DMK	47.32	47.32	37.46	0.00	0.00	15.22
20	Thousand Lights	Chennai	DMK	43.35	43.35	37.15	0.00	0.00	19.50
21	Anna Nagar	Chennai	DMK	41.59	41.59	40.95	0.00	0.00	17.46
22	Virugampakkam	Chennai	AIADMK	38.51	37.15	38.51	0.00	0.00	24.34
23	Saidapet	Chennai	DMK	47.18	47.18	37.51	0.00	0.00	15.31
24	Thiyagarayanagar	Chennai	AIADMK	37.47	35.25	37.47	0.00	0.00	27.28
25	Mylapore	Chennai	AIADMK	43.67	34.23	43.67	0.00	0.00	22.10
26	Velachery	Chennai	DMK	39.96	39.96	34.91	0.00	0.00	25.13
27	Sholinganallur	Chengalpattu	DMK	42.53	42.53	38.21	0.00	0.00	19.26
28	Alandur	Kancheepuram	DMK	44.64	44.64	35.81	0.00	0.00	19.55
29	Sriperumbudur	Kancheepuram	AIADMK	42.77	38.23	42.77	0.00	0.00	19.00
30	Pallavaram	Chengalpattu	DMK	44.94	44.94	36.12	0.00	0.00	18.94
31	Tambaram	Chengalpattu	DMK	43.27	43.27	37.13	0.00	0.00	19.60
32	Chengalpattu	Chengalpattu	DMK	45.11	45.11	34.58	0.00	0.00	20.31
33	Thiruporur	Chengalpattu	AIADMK	34.91	34.44	34.91	0.00	0.00	30.65
34	Cheyyur	Chengalpattu	DMK	37.51	37.51	37.33	0.00	0.00	25.16
35	Madurantakam	Chengalpattu	DMK	41.43	41.43	39.77	0.00	0.00	18.80
36	Uthiramerur	Kancheepuram	DMK	43.02	43.02	36.90	0.00	0.00	20.08
37	Kancheepuram	Kancheepuram	DMK	40.40	40.40	37.03	0.00	0.00	22.57
38	Arakkonam	Ranipet	AIADMK	41.21	38.69	41.21	0.00	0.00	20.10
39	Sholingur	Ranipet	AIADMK	36.79	32.18	36.79	0.00	0.00	31.03
40	Katpadi	Vellore	DMK	50.90	50.90	37.44	0.00	0.00	11.66
41	Ranipet	Ranipet	DMK	42.85	42.85	38.71	0.00	0.00	18.44
42	Arcot	Ranipet	DMK	41.39	41.39	35.94	0.00	0.00	22.67
43	Vellore	Vellore	DMK	51.53	51.53	36.23	0.00	0.00	12.24
44	Anaikattu	Vellore	DMK	42.43	42.43	37.60	0.00	0.00	19.97
45	Kilvaithinankuppam	Vellore	AIADMK	45.76	39.86	45.76	0.00	0.00	14.38
46	Gudiyattam	Vellore	AIADMK	48.56	42.68	48.56	0.00	0.00	8.76
47	Vaniyambadi	Tirupattur	AIADMK	40.31	31.89	40.31	0.00	0.00	27.80
48	Ambur	Tirupattur	AIADMK	49.16	0.00	49.16	0.00	0.00	50.84
49	Jolarpet	Tirupattur	AIADMK	45.57	39.50	45.57	0.00	0.00	14.93
50	Tirupattur	Tirupattur	DMK	45.43	45.43	41.13	0.00	0.00	13.44
51	Uthangarai	Krishnagiri	AIADMK	38.75	37.30	38.75	0.00	0.00	23.95
52	Bargur	Krishnagiri	AIADMK	42.89	42.36	42.89	0.00	0.00	14.75
53	Krishnagiri	Krishnagiri	DMK	43.80	43.80	41.35	0.00	0.00	14.85
54	Veppanahalli	Krishnagiri	DMK	46.01	46.01	43.31	0.00	0.00	10.68
55	Hosur	Krishnagiri	AIADMK	41.59	30.92	41.59	0.00	0.00	27.49
56	Thalli	Krishnagiri	DMK	39.31	75.32	0.00	0.00	0.00	24.68
57	Palacode	Dharmapuri	AIADMK	40.34	37.17	40.34	0.00	0.00	22.49
58	Pennagaram	Dharmapuri	DMK	38.49	38.49	0.00	0.00	0.00	61.51
59	Dharmapuri	Dharmapuri	DMK	34.25	34.25	29.58	0.00	0.00	36.17
60	Pappireddippatti	Dharmapuri	AIADMK	35.56	0.00	35.56	0.00	0.00	64.44
61	Harur	Dharmapuri	AIADMK	33.96	27.95	33.96	0.00	0.00	38.09
62	Chengam	Tiruvannamalai	DMK	45.60	45.60	39.57	0.00	0.00	14.83
63	Tiruvannamalai	Tiruvannamalai	DMK	57.15	57.15	32.45	0.00	0.00	10.40
64	Kilpennathur	Tiruvannamalai	DMK	50.22	50.22	32.64	0.00	0.00	17.14
65	Kalasapakkam	Tiruvannamalai	AIADMK	45.41	31.20	45.41	0.00	0.00	23.39
66	Polur	Tiruvannamalai	DMK	34.02	34.02	29.80	0.00	0.00	36.18
67	Arani	Tiruvannamalai	AIADMK	44.89	41.40	44.89	0.00	0.00	13.71
68	Cheyyar	Tiruvannamalai	AIADMK	37.78	33.64	37.78	0.00	0.00	28.58
69	Vandavasi	Tiruvannamalai	DMK	44.20	44.20	34.24	0.00	0.00	21.56
70	Gingee	Viluppuram	DMK	43.99	43.99	33.02	0.00	0.00	22.99
71	Mailam	Viluppuram	DMK	41.40	41.40	34.21	0.00	0.00	24.39
72	Tindivanam	Viluppuram	DMK	35.33	35.33	35.27	0.00	0.00	29.40
73	Vanur	Viluppuram	AIADMK	36.79	30.93	36.79	0.00	0.00	32.28
74	Viluppuram	Viluppuram	AIADMK	36.74	24.94	36.74	0.00	0.00	38.32
75	Vikravandi	Viluppuram	DMK	35.69	35.69	31.82	0.00	0.00	32.49
76	Tirukkoyilur	Viluppuram	DMK	49.80	49.80	28.01	0.00	0.00	22.19
77	Ulundurpettai	Kallakurichi	AIADMK	36.04	34.21	36.04	0.00	0.00	29.75
78	Rishivandiyam	Kallakurichi	DMK	47.08	47.08	36.66	0.00	0.00	16.26
79	Sankarapuram	Kallakurichi	DMK	44.72	44.72	37.58	0.00	0.00	17.70
80	Kallakurichi	Kallakurichi	AIADMK	42.16	40.24	42.16	0.00	0.00	17.60
81	Gangavalli	Salem	AIADMK	42.22	40.94	42.22	0.00	0.00	16.84
82	Attur	Salem	AIADMK	44.34	35.06	44.34	0.00	0.00	20.60
83	Yercaud	Salem	AIADMK	45.18	37.37	45.18	0.00	0.00	17.45
84	Omalur	Salem	AIADMK	39.23	30.45	39.23	0.00	0.00	30.32
85	Mettur	Salem	AIADMK	35.05	32.02	35.05	0.00	0.00	32.93
86	Edappadi	Salem	AIADMK	43.74	0.00	43.74	0.00	0.00	56.26
87	Sankari	Salem	AIADMK	44.57	27.25	44.57	0.00	0.00	28.18
88	Salem West	Salem	AIADMK	39.88	36.30	39.88	0.00	0.00	23.82
89	Salem North	Salem	DMK	45.14	45.14	39.99	0.00	0.00	14.87
90	Salem South	Salem	AIADMK	51.39	36.00	51.39	0.00	0.00	12.61
91	Veerapandi	Salem	AIADMK	45.86	38.85	45.86	0.00	0.00	15.29
92	Rasipuram	Namakkal	AIADMK	46.50	41.35	46.50	0.00	0.00	12.15
93	Senthamangalam	Namakkal	AIADMK	48.09	41.60	48.09	0.00	0.00	10.31
94	Namakkal	Namakkal	AIADMK	45.81	38.85	45.81	0.00	0.00	15.34
95	Paramathi-Velur	Namakkal	DMK	42.45	42.45	41.98	0.00	0.00	15.57
96	Tiruchengodu	Namakkal	AIADMK	41.40	39.48	41.40	0.00	0.00	19.12
97	Kumarapalayam	Namakkal	AIADMK	55.20	29.84	55.20	0.00	0.00	14.96
98	Erode East	Erode	AIADMK	43.83	38.57	43.83	0.00	0.00	17.60
99	Erode West	Erode	AIADMK	43.46	40.87	43.46	0.00	0.00	15.67
100	Modakkurichi	Erode	AIADMK	43.62	42.36	43.62	0.00	0.00	14.02
101	Dharapuram	Tiruppur	DMK	45.67	45.67	40.19	0.00	0.00	14.14
102	Kangayam	Tiruppur	AIADMK	45.18	38.06	45.18	0.00	0.00	16.76
103	Perundurai	Erode	AIADMK	44.05	37.05	44.05	0.00	0.00	18.90
104	Bhavani	Erode	AIADMK	45.38	32.21	45.38	0.00	0.00	22.41
105	Anthiyur	Erode	AIADMK	42.21	39.07	42.21	0.00	0.00	18.72
106	Gobichettipalayam	Erode	AIADMK	47.00	41.52	47.00	0.00	0.00	11.48
107	Bhavanisagar	Erode	AIADMK	42.23	35.56	42.23	0.00	0.00	22.21
108	Udhagamandalam	The Nilgiris	DMK	48.34	48.34	40.90	0.00	0.00	10.76
109	Gudalur	The Nilgiris	DMK	47.39	47.39	37.19	0.00	0.00	15.42
110	Coonoor	The Nilgiris	AIADMK	45.71	42.96	45.71	0.00	0.00	11.33
111	Mettuppalayam	Coimbatore	AIADMK	44.41	36.76	44.41	0.00	0.00	18.83
112	Avanashi	Tiruppur	AIADMK	48.11	32.31	48.11	0.00	0.00	19.58
113	Tiruppur North	Tiruppur	AIADMK	48.56	31.37	48.56	0.00	0.00	20.07
